AÑO,PRECIO CANASTA BASICA,Tortilla de maíz,Pasta para sopa,Pan blanco,Pan de dulce,"Pan para sándwich, hamburguesas,",Arroz en grano,"Cereal de maíz, de trigo, de arroz, de avena","Bistec: aguayón, cuete, paloma, pierna",Molida,Costilla y chuleta,Chorizo y longaniza,Jamón,"Pierna, muslo y pechuga con hueso","Pierna, muslo y pechuga sin hueso",Pollo entero o en piezas,Pescado entero,"De vaca, pasteurizada, entera, light",Fresco,Yogur,De gallina,Aceite vegetal,Papa,Cebolla,Chile*,Jitomate,Frijol,Limón,Manzana y perón,Naranja,Plátano tabasco,Azúcar,Pollo rostizado,Agua embotellada,Jugos y néctares envasados,Refrescos de cola y de sabores,Alimentos y bebidas consumidas fuera del hogar,Otros alimentos preparados,TOTAL
01/01/2003,641.1285557,27.46914283,2.471828985,11.96384204,22.0192747,3.787806018,1.891750866,4.064338691,30.18419802,17.22919844,21.52564278,3.467963522,4.760919528,12.39926124,4.945695374,12.20621839,3.232060222,46.20512168,4.956389811,5.16188716,11.23438747,3.287372349,11.20772673,17.87456736,6.290218001,26.97975862,17.67901994,5.32741538,9.692306634,2.317891971,6.078815177,3.605855071,9.634945415,12.24430309,17.79028838,33.84786523,173.0406975,33.05258111,641.1285557
01/02/2003,638.6569624,28.17620987,2.494662416,11.89174629,22.30167819,3.802332959,1.867675229,4.041836517,31.02842915,17.49698688,21.58607938,3.477209557,4.768494122,12.57905685,5.017410482,12.33984888,3.249235132,46.40468773,5.010521986,5.157993355,11.36099166,3.326807417,10.96669352,19.71283261,5.763527938,15.54593013,17.24339326,8.499815255,9.773542545,2.400360203,6.54597354,3.625667085,9.683938103,12.26099998,17.88585453,33.95485991,174.1493369,33.26434282,638.6569624
01/03/2003,650.1757356,28.5274865,2.535415447,11.98645195,22.55600528,3.825952057,1.872150828,4.057365045,31.41913555,17.90215947,21.61608928,3.520357719,4.77453462,12.56148285,5.010400734,12.30288996,3.311181457,46.55469712,5.043330877,5.20596503,11.55024432,3.410144308,10.35515274,15.98121268,5.476146692,22.32331369,16.97557076,13.74054968,9.981456473,2.590344973,6.542810653,3.628860355,9.711124797,12.35544955,18.06364778,34.13030459,175.2934663,33.48288349,650.1757356
01/04/2003,644.5080647,28.86867356,2.522238552,11.99722365,22.59125448,3.831728653,1.872208703,4.044998985,31.26355749,17.81482605,21.89118003,3.514684016,4.755981661,12.60978064,5.029665285,12.31032086,3.491034537,46.60871835,5.050621742,5.222163258,12.01050436,3.50241471,11.83032175,13.53822621,5.269849509,19.93115589,16.87574779,8.230018232,9.853582679,2.921125212,6.393142855,3.649290421,9.794006453,12.24206022,18.14404761,34.31904054,176.9192455,33.79342429,644.5080647
01/05/2003,644.7830256,29.09462702,2.542847313,12.08243742,22.61461733,3.841230982,1.865958297,4.046539674,30.92568892,17.6719942,21.71674749,3.517520868,4.79208083,12.4889747,4.981479399,12.28958846,3.364578697,46.7118498,5.069548028,5.215050574,12.25255066,3.541147859,12.58899824,11.42095598,5.303600203,24.36091017,16.42214906,5.183397951,9.946809397,3.285540823,6.220702273,3.677446142,9.802596694,12.23495781,18.06291687,34.3848323,177.3789252,33.88122792,644.7830256
01/06/2003,644.5116653,29.20561238,2.571865818,12.09544878,22.61646176,3.840478999,1.880639034,4.049093975,30.67764466,17.73770707,21.61525568,3.507819536,4.788101772,12.67626693,5.056184678,12.50020385,3.331395359,46.76765686,5.053617988,5.15332079,11.94383352,3.555824341,13.49137983,10.40708102,5.592906585,24.21279927,16.27446576,4.615361077,10.17119954,4.01045116,6.087671259,3.728126439,9.861501197,12.27782147,18.11572494,34.42669978,176.8364355,33.77760672,644.5116653
01/07/2003,650.1374922,29.25154651,2.54318957,12.06132061,22.66421213,3.833300981,1.926610381,4.0569596,30.54349527,17.6665465,21.87930111,3.486840843,4.762357742,12.47213807,4.974763767,12.21758226,3.324043454,46.76229938,5.019261036,5.14075678,11.63300464,3.584985872,12.40336328,9.973710872,5.306666281,31.67668402,16.12814989,4.699828897,10.41018802,4.348554707,6.182115056,3.777742312,9.849418222,12.2243665,17.98324796,34.48518134,177.0628954,33.82086292,650.1374922
01/08/2003,647.8001038,29.35854915,2.551966018,12.10910005,22.74270309,3.830771584,1.962530923,4.045809874,30.52646975,17.76324315,21.88951282,3.492724683,4.757323994,12.43158266,4.958587427,12.072673,3.318778937,46.72435058,4.998936502,5.122741443,11.98093992,3.591207424,11.84086774,10.0212255,5.092827595,29.80529559,15.95350853,4.759747361,10.34142575,4.133651245,6.196980623,3.805657679,9.873584172,12.23632845,17.95748347,34.42370925,177.2673853,33.85992263,647.8001038
01/09/2003,651.5593379,29.4501519,2.558444454,12.09768844,23.01383503,3.835386024,1.992316806,4.057527222,30.90367316,17.72817359,22.12438196,3.506628759,4.79409433,12.40233362,4.946920854,12.03991384,3.336721269,46.89623633,5.047525621,5.103583924,12.37613807,3.616348875,11.44748934,11.60263631,5.555888831,30.45655495,15.7964485,5.191758666,10.19980833,3.823382751,6.086406105,3.881369099,9.925031214,12.23283955,17.85533915,34.43633595,177.3620252,33.87799985,651.5593379
01/10/2003,653.0876045,29.55290629,2.583991495,12.25467801,23.09826917,3.851485293,2.041085404,4.049580508,31.53185626,18.12296151,22.35424946,3.538534583,4.885756496,12.33240627,4.919028923,11.86999063,3.298979443,47.14669842,5.083780196,5.078144399,12.59616188,3.640660786,11.33338928,13.89653702,6.043170903,29.52931402,15.5399562,5.265570673,9.854662086,3.419337023,5.798393643,3.98375978,9.939568543,12.25763568,17.6830277,34.55695417,176.4511157,33.70400661,653.0876045
