Nation ID,Nation,Quarter ID,Quarter,Fecha,Monthly Wage,Workforce,Time,
mex,México,20101,2010-Q1,01/01/2010,3668.27701,45524339,1.27E+12,
mex,México,20102,2010-Q2,01/04/2010,3630.425532,46597624,1.27E+12,
mex,México,20103,2010-Q3,01/07/2010,3582.671245,46452588,1.28E+12,
mex,México,20104,2010-Q4,01/10/2010,3559.074645,45911934,1.29E+12,
mex,México,20111,2011-Q1,01/01/2011,3667.980568,46005815,1.30E+12,
mex,México,20112,2011-Q2,01/04/2011,3597.804405,46891586,1.30E+12,
mex,México,20113,2011-Q3,01/07/2011,3569.250907,47350681,1.31E+12,
mex,México,20114,2011-Q4,01/10/2011,3477.73362,48307467,1.32E+12,
mex,México,20121,2012-Q1,01/01/2012,3704.960379,47726265,1.33E+12,
mex,México,20122,2012-Q2,01/04/2012,3668.464854,49003380,1.34E+12,
mex,México,20123,2012-Q3,01/07/2012,3618.811996,49275020,1.34E+12,
mex,México,20124,2012-Q4,01/10/2012,3648.347841,48822271,1.35E+12,
mex,México,20131,2013-Q1,01/01/2013,3792.453067,48358255,1.36E+12,
mex,México,20132,2013-Q2,01/04/2013,3669.41226,49296229,1.37E+12,
mex,México,20133,2013-Q3,01/07/2013,3632.297385,49309167,1.38E+12,
mex,México,20134,2013-Q4,01/10/2013,3615.416906,49945599,1.38E+12,
mex,México,20141,2014-Q1,01/01/2014,3709.89584,49080947,1.39E+12,
mex,México,20142,2014-Q2,01/04/2014,3613.274736,49301557,1.40E+12,
mex,México,20143,2014-Q3,01/07/2014,3599.832249,49455344,1.41E+12,
mex,México,20144,2014-Q4,01/10/2014,3578.353506,49823798,1.41E+12,
mex,México,20151,2015-Q1,01/01/2015,3704.822752,49806064,1.42E+12,
mex,México,20152,2015-Q2,01/04/2015,3708.900209,50336088,1.43E+12,
mex,México,20153,2015-Q3,01/07/2015,3758.838557,50734656,1.44E+12,
mex,México,20154,2015-Q4,01/10/2015,3721.871403,51568519,1.45E+12,
mex,México,20161,2016-Q1,01/01/2016,3845.655612,50778629,1.45E+12,
mex,México,20162,2016-Q2,01/04/2016,3847.248495,51433590,1.46E+12,
mex,México,20163,2016-Q3,01/07/2016,3847.290183,52043100,1.47E+12,
mex,México,20164,2016-Q4,01/10/2016,3867.447413,52123674,1.48E+12,
mex,México,20171,2017-Q1,01/01/2017,3967.808421,51859895,1.49E+12,
mex,México,20172,2017-Q2,01/04/2017,3939.483817,52198611,1.49E+12,
mex,México,20173,2017-Q3,01/07/2017,3845.888426,52438646,1.50E+12,
mex,México,20174,2017-Q4,01/10/2017,3831.477564,52865845,1.51E+12,
mex,México,20181,2018-Q1,01/01/2018,4025.106467,52876916,1.52E+12,
mex,México,20182,2018-Q2,01/04/2018,4019.665303,53785257,1.53E+12,
mex,México,20183,2018-Q3,01/07/2018,4010.793831,54027997,1.53E+12,
mex,México,20184,2018-Q4,01/10/2018,4020.819535,54194608,1.54E+12,
mex,México,20191,2019-Q1,01/01/2019,4239.367092,54152266,1.55E+12,
mex,México,20192,2019-Q2,01/04/2019,4270.815306,54936719,1.56E+12,
mex,México,20193,2019-Q3,01/07/2019,4277.00747,55201939,1.56E+12,
mex,México,20194,2019-Q4,01/10/2019,4409.984898,55683450,1.57E+12,
mex,México,20201,2020-Q1,01/01/2020,4773.954585,55352304,1.58E+12,
mex,México,20203,2020-Q3,01/07/2020,4512.118144,51011033,1.60E+12,
mex,México,20204,2020-Q4,01/10/2020,4658.373625,53331429,1.60E+12,
mex,México,20211,2021-Q1,01/01/2021,4937.565018,52973270,1.61E+12,
mex,México,20212,2021-Q2,01/04/2021,4824.817571,55223759,1.62E+12,
