,Nation ID,Nation,Quarter ID,Quarter,Fecha,Monthly Wage,Workforce,Time,AÑO,SM,PRECIO CANASTA BASICA,DIF PCB VS SM,DIF PCB VS SP
0,mex,México,20101,2010-Q1,01/01/2010,3668.28,45524339,1.27E+12,2010,1723.8,977.94,745.86,2690.34
1,mex,México,20102,2010-Q2,01/04/2010,3630.43,46597624,1.27E+12,2010,1723.8,1007.41,716.39,2623.01
2,mex,México,20103,2010-Q3,01/07/2010,3582.67,46452588,1.28E+12,2010,1723.8,973.66,750.14,2609.01
3,mex,México,20104,2010-Q4,01/10/2010,3559.07,45911934,1.29E+12,2010,1723.8,996.04,727.76,2563.04
4,mex,México,20111,2011-Q1,01/01/2011,3667.98,46005815,1.30E+12,2011,1794.6,1020.05,774.55,2647.93
5,mex,México,20112,2011-Q2,01/04/2011,3597.8,46891586,1.30E+12,2011,1794.6,1039.56,755.04,2558.25
6,mex,México,20113,2011-Q3,01/07/2011,3569.25,47350681,1.31E+12,2011,1794.6,1018.1,776.5,2551.15
7,mex,México,20114,2011-Q4,01/10/2011,3477.73,48307467,1.32E+12,2011,1794.6,1034.99,759.61,2442.74
8,mex,México,20121,2012-Q1,01/01/2012,3704.96,47726265,1.33E+12,2012,1869.9,1079.97,789.93,2624.99
9,mex,México,20122,2012-Q2,01/04/2012,3668.46,49003380,1.34E+12,2012,1869.9,1082.04,787.86,2586.43
10,mex,México,20123,2012-Q3,01/07/2012,3618.81,49275020,1.34E+12,2012,1869.9,1120.09,749.81,2498.72
11,mex,México,20124,2012-Q4,01/10/2012,3648.35,48822271,1.35E+12,2012,1869.9,1147.95,721.95,2500.4
12,mex,México,20131,2013-Q1,01/01/2013,3792.45,48358255,1.36E+12,2013,1942.8,1161.39,781.41,2631.06
13,mex,México,20132,2013-Q2,01/04/2013,3669.41,49296229,1.37E+12,2013,1942.8,1179.95,762.85,2489.46
14,mex,México,20133,2013-Q3,01/07/2013,3632.3,49309167,1.38E+12,2013,1942.8,1167.99,774.81,2464.31
15,mex,México,20134,2013-Q4,01/10/2013,3615.42,49945599,1.38E+12,2013,1942.8,1186.51,756.29,2428.91
16,mex,México,20141,2014-Q1,01/01/2014,3709.9,49080947,1.39E+12,2014,2018.7,1227.36,791.34,2482.54
17,mex,México,20142,2014-Q2,01/04/2014,3613.27,49301557,1.40E+12,2014,2018.7,1224.96,793.74,2388.32
18,mex,México,20143,2014-Q3,01/07/2014,3599.83,49455344,1.41E+12,2014,2018.7,1231.87,786.83,2367.96
19,mex,México,20144,2014-Q4,01/10/2014,3578.35,49823798,1.41E+12,2014,2018.7,1264.87,753.83,2313.48
20,mex,México,20151,2015-Q1,01/01/2015,3704.82,49806064,1.42E+12,2015,2103,1265.8,837.2,2439.02
21,mex,México,20152,2015-Q2,01/04/2015,3708.9,50336088,1.43E+12,2015,2103,1273.13,829.87,2435.77
22,mex,México,20153,2015-Q3,01/07/2015,3758.84,50734656,1.44E+12,2015,2103,1275.89,827.11,2482.95
23,mex,México,20154,2015-Q4,01/10/2015,3721.87,51568519,1.45E+12,2015,2103,1295.05,807.95,2426.82
24,mex,México,20161,2016-Q1,01/01/2016,3845.66,50778629,1.45E+12,2016,2191.2,1333.7,857.5,2511.96
25,mex,México,20162,2016-Q2,01/04/2016,3847.25,51433590,1.46E+12,2016,2191.2,1335.18,856.02,2512.07
26,mex,México,20163,2016-Q3,01/07/2016,3847.29,52043100,1.47E+12,2016,2191.2,1321.24,869.96,2526.05
27,mex,México,20164,2016-Q4,01/10/2016,3867.45,52123674,1.48E+12,2016,2191.2,1346.44,844.76,2521.01
28,mex,México,20171,2017-Q1,01/01/2017,3967.81,51859895,1.49E+12,2017,2401.2,1371.59,1029.61,2596.22
29,mex,México,20172,2017-Q2,01/04/2017,3939.48,52198611,1.49E+12,2017,2401.2,1400.22,1000.98,2539.26
30,mex,México,20173,2017-Q3,01/07/2017,3845.89,52438646,1.50E+12,2017,2401.2,1446.47,954.73,2399.42
31,mex,México,20174,2017-Q4,01/10/2017,3831.48,52865845,1.51E+12,2017,2401.2,1469.71,931.49,2361.77
32,mex,México,20181,2018-Q1,01/01/2018,4025.11,52876916,1.52E+12,2018,2650.8,1490.78,1160.02,2534.33
33,mex,México,20182,2018-Q2,01/04/2018,4019.67,53785257,1.53E+12,2018,2650.8,1482.46,1168.34,2537.21
34,mex,México,20183,2018-Q3,01/07/2018,4010.79,54027997,1.53E+12,2018,2650.8,1492.26,1158.54,2518.54
35,mex,México,20184,2018-Q4,01/10/2018,4020.82,54194608,1.54E+12,2018,2650.8,1513.59,1137.21,2507.23
36,mex,México,20191,2019-Q1,01/01/2019,4239.37,54152266,1.55E+12,2019,3080.4,1568.07,1512.33,2671.3
37,mex,México,20192,2019-Q2,01/04/2019,4270.82,54936719,1.56E+12,2019,3080.4,1569.36,1511.04,2701.46
38,mex,México,20193,2019-Q3,01/07/2019,4277.01,55201939,1.56E+12,2019,3080.4,1568.96,1511.44,2708.05
39,mex,México,20194,2019-Q4,01/10/2019,4409.98,55683450,1.57E+12,2019,3080.4,1561.59,1518.81,2848.4
40,mex,México,20201,2020-Q1,01/01/2020,4773.95,55352304,1.58E+12,2020,3696.6,1615.21,2081.39,3158.75
41,mex,México,20203,2020-Q3,01/07/2020,4512.12,51011033,1.60E+12,2020,3696.6,1648.08,2048.52,2864.04
42,mex,México,20204,2020-Q4,01/10/2020,4658.37,53331429,1.60E+12,2020,3696.6,1681.61,2014.99,2976.76
